epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0101,1.41059,3.99335,1.32176,0.00235,0.13605,0.09132,0.04851,0.79794,4.00224,0.9441,0.00011432,0.00011432,0.00011432
2,104.966,1.10445,2.85066,1.06384,0.0077,0.53163,0.1883,0.11816,0.63992,3.65036,0.84382,0.00023812,0.00023812,0.00023812
3,131.309,0.98132,2.06678,1.01373,0.00858,0.55612,0.2011,0.12507,0.66586,3.56275,0.85401,0.000356827,0.000356827,0.000356827
4,157.99,1.02381,1.78457,1.06432,0.01052,0.59575,0.34164,0.25397,0.64869,3.50055,0.87497,0.000470441,0.000470441,0.000470441
5,184.457,0.94947,1.60919,1.03848,0.0077,0.55119,0.33136,0.23478,0.7064,3.42156,0.86851,0.000578962,0.000578962,0.000578962
6,210.945,0.9466,1.67199,1.03283,0.00626,0.54932,0.18571,0.08394,0.67131,3.49668,0.87384,0.00068239,0.00068239,0.00068239
7,237.675,0.95021,1.68895,1.05788,0.0089,0.74541,0.34471,0.25761,0.67037,3.31721,0.89143,0.000780726,0.000780726,0.000780726
8,264.034,0.92246,1.39252,1.00725,0.93381,0.08844,0.53132,0.42313,0.69639,3.16814,0.88334,0.000873968,0.000873968,0.000873968
9,290.703,0.93673,1.41744,1.02182,0.90484,0.1817,0.62371,0.50811,0.70497,2.62265,0.87649,0.000962117,0.000962117,0.000962117
10,316.999,0.87846,1.39722,1.00989,0.73916,0.51608,0.635,0.50969,0.7162,2.4143,0.88948,0.00104517,0.00104517,0.00104517
11,343.769,0.91818,1.35069,1.00988,0.7235,0.41786,0.6033,0.50465,0.66437,2.50984,0.8792,0.00112314,0.00112314,0.00112314
12,371.407,0.89867,1.3684,1.02175,0.73442,0.64828,0.61414,0.47048,0.73628,2.0398,0.9235,0.00111776,0.00111776,0.00111776
13,399.186,0.88264,1.32477,1.01699,0.5811,0.67665,0.60872,0.46515,0.69851,1.97918,0.90949,0.00108947,0.00108947,0.00108947
14,427.03,0.89818,1.27521,1.03518,0.62447,0.6857,0.6343,0.5,0.69793,1.90586,0.90835,0.00106118,0.00106118,0.00106118
15,454.705,0.93408,1.30182,1.03532,0.62024,0.65876,0.69631,0.55947,0.65475,1.88779,0.90337,0.00103288,0.00103288,0.00103288
16,482.607,0.85387,1.20786,0.99584,0.71816,0.69247,0.67055,0.5351,0.63293,1.68116,0.89293,0.00100459,0.00100459,0.00100459
17,510.441,0.86832,1.18232,1.01337,0.67526,0.6884,0.65053,0.52249,0.71012,1.88974,0.9011,0.000976293,0.000976293,0.000976293
18,538.187,0.79307,1.17785,0.98105,0.6586,0.68464,0.63307,0.51578,0.70801,1.7995,0.91356,0.000947999,0.000947999,0.000947999
19,565.935,0.78143,1.1373,0.9799,0.6623,0.72178,0.65861,0.54962,0.60343,1.6098,0.898,0.000919704,0.000919704,0.000919704
20,593.771,0.8331,1.18922,1.00087,0.68967,0.68662,0.65528,0.5275,0.65957,1.64556,0.90465,0.00089141,0.00089141,0.00089141
21,621.651,0.79994,1.18803,0.98548,0.69062,0.74014,0.69025,0.54201,0.60158,1.57327,0.89457,0.000863116,0.000863116,0.000863116
22,649.354,0.76554,1.18512,0.9761,0.69951,0.77499,0.70633,0.55356,0.62324,1.47165,0.89392,0.000834822,0.000834822,0.000834822
23,677.677,0.84253,1.12791,0.99247,0.6655,0.79551,0.69621,0.55528,0.611,1.48981,0.8977,0.000806528,0.000806528,0.000806528
24,705.533,0.80127,1.0787,0.98458,0.71771,0.74879,0.70512,0.54075,0.64638,1.4415,0.90506,0.000778233,0.000778233,0.000778233
25,733.342,0.72396,1.09737,0.94791,0.70322,0.7819,0.69997,0.55417,0.63779,1.42699,0.89397,0.000749939,0.000749939,0.000749939
26,761.02,0.78736,1.14503,0.97419,0.73914,0.77954,0.69712,0.56757,0.60434,1.49161,0.89,0.000721645,0.000721645,0.000721645
27,788.911,0.71542,1.03522,0.94096,0.69399,0.7782,0.69892,0.56317,0.61799,1.50571,0.87478,0.000693351,0.000693351,0.000693351
28,816.753,0.69277,0.98273,0.92107,0.69148,0.7758,0.70335,0.57071,0.57493,1.55605,0.87591,0.000665057,0.000665057,0.000665057
29,844.533,0.70236,1.00435,0.93387,0.73041,0.75073,0.70079,0.57749,0.55352,1.47171,0.87332,0.000636762,0.000636762,0.000636762
30,872.368,0.74254,1.06647,0.94922,0.73024,0.72668,0.70291,0.58639,0.55051,1.44197,0.86695,0.000608468,0.000608468,0.000608468
31,899.897,0.7534,0.99743,0.95144,0.70375,0.74957,0.71589,0.5725,0.55335,1.38183,0.86381,0.000580174,0.000580174,0.000580174
32,927.854,0.72237,0.95412,0.9372,0.69627,0.77704,0.73358,0.60752,0.54488,1.35276,0.85877,0.00055188,0.00055188,0.00055188
33,955.499,0.73606,0.9976,0.96457,0.73851,0.70918,0.72379,0.61263,0.50572,1.37169,0.84479,0.000523586,0.000523586,0.000523586
34,983.338,0.70297,0.94214,0.9464,0.71308,0.71551,0.70026,0.5843,0.49371,1.34991,0.84532,0.000495291,0.000495291,0.000495291
35,1011.2,0.68548,0.97301,0.93846,0.69106,0.77892,0.71028,0.58931,0.50803,1.35111,0.84967,0.000466997,0.000466997,0.000466997
36,1055.96,0.67119,0.91281,0.93219,0.70192,0.78051,0.71677,0.58676,0.52116,1.38326,0.85355,0.000438703,0.000438703,0.000438703
37,1118.9,0.68012,0.95497,0.93493,0.67691,0.77976,0.71439,0.58782,0.51488,1.44146,0.85841,0.000410409,0.000410409,0.000410409
38,1180.78,0.60779,0.84868,0.91027,0.69219,0.79434,0.70999,0.58712,0.50336,1.46604,0.86051,0.000382115,0.000382115,0.000382115
39,1243.48,0.62439,0.91256,0.92782,0.69995,0.80003,0.71639,0.59571,0.49934,1.55534,0.86275,0.00035382,0.00035382,0.00035382
40,1306.31,0.64385,0.86728,0.91219,0.67007,0.81385,0.72267,0.60523,0.51712,1.50554,0.86404,0.000325526,0.000325526,0.000325526
41,1367.48,0.59689,0.84267,0.92894,0.68918,0.81084,0.73893,0.59845,0.55075,1.55179,0.86807,0.000297232,0.000297232,0.000297232
42,1427.53,0.59556,0.87623,0.92221,0.6716,0.80578,0.7184,0.59164,0.56932,1.53856,0.87178,0.000268938,0.000268938,0.000268938
43,1488.55,0.57913,0.81582,0.89209,0.66871,0.82654,0.71692,0.59412,0.55278,1.52607,0.8661,0.000240644,0.000240644,0.000240644
44,1545.96,0.57628,0.8294,0.90249,0.69122,0.82692,0.72657,0.6132,0.53369,1.58632,0.86161,0.000212349,0.000212349,0.000212349
45,1580.85,0.56022,0.8077,0.91131,0.70728,0.83679,0.74622,0.61753,0.50447,1.56762,0.86028,0.000184055,0.000184055,0.000184055
46,1615.5,0.55991,0.80231,0.92872,0.72006,0.82669,0.74326,0.60519,0.49759,1.46953,0.86105,0.000155761,0.000155761,0.000155761
47,1650.05,0.52796,0.77359,0.88942,0.68732,0.86103,0.73882,0.60188,0.50096,1.45507,0.86222,0.000127467,0.000127467,0.000127467
48,1684.73,0.54346,0.77267,0.87946,0.70406,0.83556,0.72871,0.59629,0.49922,1.46286,0.85579,9.91726e-05,9.91726e-05,9.91726e-05
49,1719.45,0.55581,0.79132,0.9132,0.71136,0.81354,0.71876,0.60079,0.50229,1.46817,0.85533,7.08784e-05,7.08784e-05,7.08784e-05
